,product_name,product_category,price,product_images,product_description,product_benefits,product_details,productdata_content,other_colors
0,Nike Air Max 1,Men's Slides,SAR 500.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw295d7702/nk/0f3/2/e/b/9/e/0f32eb9e_4e4a_4931_a58c_9d7cf01d8509.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw010de0aa/nk/56f/5/f/a/2/5/56f5fa25_0a33_4d1c_97b6_de9771883794.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf07bf4b4/nk/8fe/1/8/6/f/1/8fe186f1_56a2_4146_8336_d177da5ab132.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw53eded0f/nk/297/e/6/b/7/a/297e6b7a_41ba_4f57_be09_214542583667.png?sw=540&sh=540&sm=fit&q=80']","The Nike Air Max 1 Slides re-imagine the legendary design for summertime fun. Crossing sneaker tech with slide style, it includes a near 1:1 remake of the original running shoe's outsole, while the plush strap mimics the original upper. To top it off, the textured footbed features soft foam that cradles your foot so you can focus on the fun.","['Materials and colours celebrate the original Air Max 1.', 'Nike Air technology absorbs impact for cushioning with every step.', 'Plush strap combines airy mesh, soft suede and an embroidered partial Swoosh for a layered look.', 'Foam footbed is contoured and textured to help hold your foot in place as you walk.', 'Partial rubber outsole adds durable traction while keeping the original Air Max tooling.']","['Colour Shown: White/Black/Light Neutral Grey/University Red', 'Style: DH0295-103']","Revolutionary Nike Air technology first made its way into Nike footwear in 1978. The Air Max 1 debuted with visible Nike Air technology in its heel, allowing fans more than just the feel of Air cushioning—suddenly they could see it. Since then, next-generation Air Max shoes have become a hit with athletes and collectors by offering striking colour combinations and reliable, lightweight cushioning.",[]
1,Nike Air Max Plus Mercurial 25,Men's Shoes,"SAR 1,200.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5f80a4ea/nk/d7a/3/8/1/2/0/d7a38120_1eb2_4025_acad_1981f9f9ddc2.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc4248a4f/nk/8a7/d/d/d/9/6/8a7ddd96_bd08_4d13_a189_f62a98d2e7b4.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw36d16023/nk/1e6/b/f/9/0/0/1e6bf900_8f70_4197_ae0c_a3eac29350f3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdf5e9f04/nk/3e0/2/a/4/8/b/3e02a48b_a2c7_4052_a5f6_7385cf94d318.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd9151bec/nk/a8f/8/0/7/6/7/a8f80767_aa67_4a69_b71d_9a50d9e35319.png?sw=540&sh=540&sm=fit&q=80']","What's better than celebrating 1 birthday? Celebrating 2! Honouring a quarter century of sneaker and football greatness, this Air Max Plus toasts to shared history with a Mercurial-inspired design. The legendary Tuned Air cushioning offers incredible stability and unbelievable cushioning, while the multi-textured upper features breathable knit, wavy design lines and polished plastic accents around the toe to blend comfort with defiant style.","['Airy mesh, synthetic leather and knit textiles combine for lightweight comfort and durability.', 'Padded, low-top collar looks sleek and feels great.', 'Polished toe tip adds shine and durability.', 'Rubber outsole adds durable traction.']","['Foam in midsole', 'Reflective design details', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Black/Hyper Pink/Metallic Silver/Volt', 'Style: FJ4883-001']","From your local pitch to the global stage, you've seen the Mercurial and its iconic Volt and Hyperpink colourway. This shoe has been the catalyst for some of the most memorable moments of the game. Inspired by its historical branding, we created a repeat graphic using Tuned Air logos that celebrate both shoes and their common 25th anniversary.",[]
2,Nike ACG Lowcate,Men's Shoes,SAR 549.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw086fda84/nk/d2e/c/5/3/a/2/d2ec53a2_0a3b_4f46_8484_d5356d9cf6b3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb7bf943c/nk/fd7/3/3/b/8/c/fd733b8c_3362_4353_a670_9361c79a359c.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwefdc55ec/nk/85e/e/2/6/b/5/85ee26b5_44d9_4534_93c6_4d5c46e5b968.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5515ef96/nk/c1c/a/8/6/1/f/c1ca861f_93a4_4d4b_8cea_d715aa1b9e8b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdad4033c/nk/288/b/f/0/5/0/288bf050_b391_49ea_a940_066e52326a4a.png?sw=540&sh=540&sm=fit&q=80']","From streets to parks to trails, you can build up your miles in these classic city-to-adventure shoes. Designed and tested in the rugged Pacific Northwest, the mixed material upper pairs durability with easy styling. Rubber outsole (and heavy duty, tuned lug pattern) grips slick and rocky terrain so you can go up, down, through and around.","['Midfoot webbing locks in the fit.', 'A pull tab on the tongue provides for an easy on and off and doubles as a clip-in point so you can easily attach them to your pack.']","['Colour Shown: Black/Black/White/White', 'Style: DX2256-001']","Mixed material upper delivers a classic outdoors look, is easy to style and can be taken from extra-adventurous lunch breaks straight back into ""serious"" meetings.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6b7cbac3/nk/64a/6/5/9/2/6/64a65926_7e65_460e_ad51_906fbb3e5b3e.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw29b8b225/nk/e6a/a/e/5/0/8/e6aae508_dac9_4d9c_afac_4ec7890dd077.png?sw=520&sh=520&sm=fit']"
3,Nike Dunk Low,Men's Shoes,SAR 750.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw933635a1/nk/89b/4/3/1/8/1/89b43181_99ba_4b16_8c17_3e54f32ca46b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb781da50/nk/185/1/7/9/3/c/1851793c_8434_4a85_9b52_e48654b06de5.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf41e13d2/nk/c1c/b/4/4/6/e/c1cb446e_6150_4bc9_9b31_01ba171a76ed.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdc600466/nk/99a/4/1/1/8/6/99a41186_6209_4c1a_bf36_a794371ecde9.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw75cc5e6b/nk/884/4/c/7/9/7/8844c797_f4c1_453d_b0e3_95c13b08049c.png?sw=540&sh=540&sm=fit&q=80']","Ground your look in throwback hoops flair with the Nike Dunk Low. Created for the hardwood but taken to the streets, this '80s basketball icon returns with soft suede, leather overlays and an earthy neutral colourway. Channelling vintage style, its padded and low-cut collar lets you comfortably take your game anywhere.","[""Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball."", 'Foam midsole offers lightweight, responsive cushioning.', 'Low-cut, padded collar looks sleek and feels great.', 'Rubber outsole with classic hoops pivot circle adds durability, traction and heritage style.', 'Rubber sole has a full cupsole stitch for exceptional durability.']","['Perforations on the toe', 'Variable-width lacing', 'Colour Shown: Rattan/University Gold/Light Bone/Wheatgrass', 'Style: DZ4513-200']","From backboards to skateboards, the influence of the Nike Dunk is undeniable. Although introduced as a basketball shoe in 1985, its flat and grippy soles were perfect for a neglected sports community—skaters. Uncovering a subculture craving creativity as much as function, the Dunk released decades of countless colourways that continue to capture the soul of skaters from coast to coast.",[]
4,Jordan Play,Men's Slides,SAR 275.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwa516c4c7/nk/b15/9/b/4/6/6/b159b466_3987_4cd0_9d19_e14b2f524e6a.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5eb75856/nk/728/0/5/a/0/4/72805a04_d3d4_47fc_a22f_3f5193607fcb.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw55512cfa/nk/485/b/f/0/9/2/485bf092_37ec_4b1e_beb9_be82971e74dc.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd2e5fcc8/nk/fad/9/9/f/9/0/fad99f90_3efe_49bb_8030_f30fcb04f87e.png?sw=540&sh=540&sm=fit&q=80']","Get all of the underfoot support you need with these essential slides. Enjoy the cushioning of thick, lightweight foam for beach days or post-game hangouts.","['Synthetic leather and foam feel soft against your foot.', 'Sole has a textured footbed, offering more supportive cushioning.', 'Herringbone pattern on the outsole provides traction.']","['Soft contoured footbed', 'Colour Shown: Black/Photon Dust', 'Style: DC9835-003']",,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe2079bc7/nk/aa7/8/2/2/0/9/aa782209_3897_4110_a9e6_631cf4528b42.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwda6ecaf9/nk/68b/3/b/e/a/8/68b3bea8_ddc7_492a_88a9_cd21c137880d.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw06f2d8dd/nk/9bb/4/6/0/5/d/9bb4605d_52de_4708_b6f2_7929ee15289a.png?sw=520&sh=520&sm=fit']"
5,Nike GT Cut 2,Men's Basketball Shoes,"SAR 1,100.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc00488bd/nk/574/1/9/7/9/8/57419798_9773_40ad_aa61_5ee25f412336.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4cb51fcc/nk/ab1/4/c/2/7/3/ab14c273_0fdb_4041_9ccd_6b4379e3d49c.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1acb4506/nk/07e/4/b/e/9/5/07e4be95_b6c2_4dff_9e9a_cb5bacff65e1.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw964c7a39/nk/586/1/2/6/7/1/58612671_4c05_4e54_8348_a9bf8adb232e.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3dc97ef6/nk/f9d/6/0/e/2/4/f9d60e24_2a82_4e2a_8a4f_8749603d3738.png?sw=540&sh=540&sm=fit&q=80']","In today's game, slow-footed slugs get sought out and exposed. Space makers stay on the floor. The GT Cut 2 helps you stop in an instant and accelerate back into the open lane in a low-to-the-ground design that helps minimise court contact while switching direction. We used insights from female athletes to create a shoe that helps you play quickly and with confidence—which every basketball player needs. Separate the players from the playmakers in a design that's built on creating separation but supportive enough to help you play all day.","['Lacing directly through the medial and lateral webbing loops adds forefoot support.', 'Visible breathability in the lightweight upper provides a comfortable fit.', 'Stiff clip around the heel helps lock your foot in over the cushioning.', 'React foam in the insole adds responsive comfort.', 'Moulded tongue extends to the toe area and expands for comfort.', 'Plush interior makes it ideal for players who want to feel quick without sacrificing comfort or control.']","['Colour Shown: Black/Phantom/Pure Platinum/Cone', 'Style: DJ6015-004']","Nike React technology paired with Zoom Air on the bottom layer of the upper, stacked with a Zoom Air unit in the heel, helps provide the responsiveness you need to create space and opportunity off the dribble. The React insole provides support and comfort. Soft foam midsole offers comfort and a stable underfoot experience.",[]
6,Nike SB Chron 2,Skate Shoe,SAR 425.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw38da7864/nk/c0b/0/d/7/0/3/c0b0d703_5b09_4bed_a98b_a9bd19f1788f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5ed65aa7/nk/a2d/a/7/b/4/a/a2da7b4a_dd49_4b74_9713_5b004cfeeeb7.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwfe41fc33/nk/d4b/8/1/8/7/8/d4b81878_f82f_463b_be48_c35436999996.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7e58a64c/nk/a0d/1/1/f/6/7/a0d11f67_bbdd_40d2_88b1_30b654aaed11.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwffc8c06b/nk/a5c/a/2/4/e/9/a5ca24e9_4a10_4e1b_a969_21a1a8e04df9.png?sw=540&sh=540&sm=fit&q=80']","Flexible and breathable, the Nike SB Chron 2 is a sequel worthy of its predecessor.The revamped design includes a reshaped collar and heel for an improved fit—all while maintaining the comfort and performance you expect from Nike SB.","['Suede and canvas are durable and breathable.', 'Foam cushions every step.', 'Vulcanised construction fuses the sole to the upper for a flexible feel.', 'Extended toe bumper adds durability.']","['Colour Shown: Summit White/Phantom/White/University Red', 'Style: DM3493-101']",,[]
7,Nike Winflo 9,Men's Road Running Shoes,SAR 399.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6f7508f4/nk/4c2/0/0/7/c/e/4c2007ce_f65b_45bc_9ad8_9b2bc26317f8.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd802ce7d/nk/9ea/8/d/d/5/5/9ea8dd55_2855_4fba_bc03_d060611c28bf.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4df5d5b3/nk/c7c/4/2/f/a/a/c7c42faa_d343_47b6_a92d_49c01883bb9a.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwbc6714ae/nk/449/6/1/5/f/d/449615fd_6b12_4dcf_9946_3eb3798b7898.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe0a881d4/nk/661/c/a/8/5/6/661ca856_0f3e_4bd8_8542_da1c7ea9e22a.png?sw=540&sh=540&sm=fit&q=80']","The Winflo 9 gives you the support you need to match your speed. It has a secure fit that keeps your foot in place as the miles go by. We added plenty of foam through the midsole, giving you extra pep to every step. Lace up, lock in, win your goals.",['The upper uses translucent mesh for breathable comfort. An inner midfoot strap works with the laces to provide more support as you tighten them.'],"['Soft foam has been updated from the Winflo 8, giving you a springier feel that adds bounce to your stride. We used a full-length Nike Dot Weld Air unit for added support and responsiveness from heel to toe.']", A rubber outsole with a Waffle-inspired pattern provides road-ready traction.,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw2d577216/nk/8b2/f/4/8/e/5/8b2f48e5_d342_41f1_824c_afb4d0ac7645.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwa559da8a/nk/d52/a/2/7/c/d/d52a27cd_3329_4718_bdc6_5415b96c1505.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwaa116628/nk/fcb/9/2/0/4/0/fcb92040_614c_4663_abc7_05c2fee78165.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc619c57f/nk/a48/3/3/1/2/3/a4833123_a0fe_4ab2_91d8_85b756292a14.png?sw=520&sh=520&sm=fit']"
8,Nike ACG Air Zoom Gaiadome GORE-TEX,Shoes,"SAR 1,400.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwda466dbc/nk/b4c/6/d/5/2/3/b4c6d523_e7b8_42bb_802f_ce358270ff07.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6606006c/nk/a30/b/4/0/6/6/a30b4066_240b_4341_80dc_434df463ad19.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw9c1dabf4/nk/27b/8/3/c/4/0/27b83c40_cbc1_45a7_9301_ecad893bb117.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw37e7b200/nk/b6a/c/2/b/a/1/b6ac2ba1_6adc_4b6d_af98_811d37973923.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw95fe8bc5/nk/eab/e/5/0/f/3/eabe50f3_d81d_4fcc_9762_e621bdeed7f6.png?sw=540&sh=540&sm=fit&q=80']","Warning: this boot will take you places.Forged from heavy-duty materials, they include GORE-TEX technology and large lugs finely tuned to steep mountain slopes.Put simply, they're specifically designed for whatever you want to do out there—hike, backpack or simply explore.","['Metal eyestays and lacing clasps add durability.', 'Extra padding around the ankle helps keep it plush and supportive, especially when carrying heavy loads.']","['Synthetic upper materials', 'Reflective design in the laces', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Black/Black', 'Style: DD2858-001']",A GORE-TEX finish on the upper is designed to help keep weather at bay so you can stay focused on the adventure.,[]
9,Nike React Miler 3,Men's Road Running Shoes,SAR 299.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwcbe64723/nk/6b1/f/0/f/8/2/6b1f0f82_8414_4f97_831f_e2b3f7442851.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw8b7f118e/nk/7bf/c/9/9/6/8/7bfc9968_66fe_4607_bbc8_c3dbc04e3246.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb3318fdb/nk/bfd/f/e/0/3/e/bfdfe03e_464a_4ab0_9aad_8a13ac97c542.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwa51d899c/nk/daa/b/6/8/c/d/daab68cd_1640_479b_815c_f5515d438c33.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4b12a129/nk/21e/9/c/8/c/2/21e9c8c2_ba6e_47d8_b708_929b5798df76.png?sw=540&sh=540&sm=fit&q=80']","Cushioned and comfortable, just like every run should feel. The Nike React Miler 3 gives you a soft and smooth ride as your feet hit the pavement. We added stability in the heel for a secure sensation, while durable traction helps keep you going on runs long and short.",['Not intended for use as Personal Protective Equipment (PPE)'],['Runner-informed data was used to create and place engineered mesh throughout the upper for lightweight and breathable durability. Extra padding on the collar helps keep your foot feeling comfortable. Additional support courtesy of a heel clip helps keep your foot feeling secure.'],"The sole has a unique rocker design that's shaped for support during all 3 phases of your stride. It feels flexible when you push off the ground, provides a smooth ride when your foot moves forwards and cushions when you land. Nike React technology provides that soft yet responsive sensation with every step. The bottom is wider for more stability on contact.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe418915c/nk/863/c/a/1/6/0/863ca160_bef6_4774_9ccd_62e930ddb6f5.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1bfda67a/nk/a8a/c/8/1/2/1/a8ac8121_5359_4b79_954c_e38f8ecb8844.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe4424c25/nk/4dd/9/0/2/6/3/4dd90263_0f38_44af_81ea_30a933bf42d3.png?sw=520&sh=520&sm=fit']"
